Species,Occupancy,Density,Observations,Helena NF,Kootenai NF,Flathead NF,Bitterroot NF,Beaverhead-Deerlodge NF,Dakota Prairie NG,Idaho Panhandle NF,Region-wide USFS R1,Lewis and Clark NF,Lolo NF,Gallatin NF,Clearwater NF,Nez Perce NF,Custer NF
"American Three-toed Woodpecker","1","1","13","","","","","","","","","Management Indicator Species","","","","",""
"Bald Eagle","1","1","4","Management Indicator Species,Sensitive Species","Sensitive Species","Management Indicator Species,Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Management Indicator Species,Sensitive Species","Sensitive Species"," Sensitive Species,Management Indicator Species","Management Indicator Species,Sensitive Species","Management Indicator Species,Sensitive Species","Sensitive Species"
"Baird's Sparrow","1","1","22","","","","","","Sensitive Species","","Sensitive Species","","","","","","Sensitive Species"
"Black-backed Woodpecker","1","1","10","Sensitive Species","Sensitive Species"," Sensitive Species,Management Indicator Species","Sensitive Species","Sensitive Species","","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species"
"Belted Kingfisher","0","1","2","","","","","","","","","","","","Management Indicator Species","",""
"Blue-gray Gnatcatcher","1","1","0","","","","","","","","Sensitive Species","","","","","","Sensitive Species"
"Black Swift","0","0","0","","","","","","","Sensitive Species","Sensitive Species","","","","","Sensitive Species",""
"Brewer's Sparrow","1","1","82","","","","","","","","","","","","","","Management Indicator Species"
"Bullock's Oriole","1","1","5","","","","","","","","","","","","","","Management Indicator Species"
"Burrowing Owl","1","1","0","","","","","","Sensitive Species","","Sensitive Species","Sensitive Species","","","","","Sensitive Species"
"Cassin's Kingbird","1","1","0","","","","","","","","","","","","","","Management Indicator Species"
"Chipping Sparrow","1","1","815","","Focal Species","","","","","Focal Species","","","","","","",""
"Common Loon","0","0","0","","Sensitive Species","Management Indicator Species,Sensitive Species","","","","Sensitive Species","Sensitive Species","","Sensitive Species","","","Sensitive Species",""
"Dusky Flycatcher","1","1","234","","Focal Species","","","","","Focal Species","","","","","","",""
"Dusky Grouse","1","1","27","","","","","","","","","Management Indicator Species","","","","",""
"Flammulated Owl","0","0","0","Sensitive Species","Sensitive Species ","Management Indicator Species,Sensitive Species","Sensitive Species","Sensitive Species","","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species","Sensitive Species",""
"Golden Eagle","1","1","4","","","","","","","","","Management Indicator Species","","","","",""
"Greater Prairie-Chicken","1","1","1","","","","","","Management Indicator Species,Sensitive Species","","Sensitive Species","","","","","","Management Indicator Species"
"Greater Sage-Grouse","1","1","0","","","","","Sensitive Species","Management Indicator Species,Sensitive Species","","Sensitive Species","","","","","","Sensitive Species"
"Hammond's Flycatcher","1","1","191","","Focal Species","","","","","Focal Species","","","","","","",""
"Hairy Woodpecker","1","1","107"," Focal Species,Management Indicator Species","Focal Species","","","","","Focal Species","","","","","","",""
"Lark Sparrow","1","1","52","","","","","","","","","","","","","","Management Indicator Species"
"Long-billed Curlew","1","1","0","","","","","","Sensitive Species","","Sensitive Species","","","","","Sensitive Species","Sensitive Species"
"Least Tern","1","1","0","","","","","","","","","","","","","","Federally Endangered"
"Loggerhead Shrike","1","1","15","","","","","","Sensitive Species","","Sensitive Species","","","","","","Sensitive Species"
"Mountain Quail","1","1","7","","","","","","","","Sensitive Species","","","","","Sensitive Species",""
"Northern Goshawk","1","1","4","Management Indicator Species","","","","","","","","Management Indicator Species","Management Indicator Species","Management Indicator Species","Management Indicator Species","Management Indicator Species","Management Indicator Species"
"Olive-sided Flycatcher","1","1","137","","Focal Species","","","","","Focal Species","","","","","","",""
"Ovenbird","1","1","22","","","","","","","","","","","","","","Management Indicator Species"
"Peregrine Falcon","1","1","0"," Sensitive Species,Management Indicator Species","Sensitive Species ","Management Indicator Species,Sensitive Species","Sensitive Species","Sensitive Species","","","Sensitive Species","Management Indicator Species,Sensitive Species","Management Indicator Species,Sensitive Species","Sensitive Species","","Management Indicator Species,Sensitive Species","Sensitive Species"
"Piping Plover","0","0","0","","","","","","Federally Threatened","","","","","","","","Federally Threatened"
"Pileated Woodpecker","1","1","90","Management Indicator Species","","","Management Indicator Species","","","","","","Management Indicator Species","","Management Indicator Species","Management Indicator Species",""
"Prairie Falcon","1","1","0","","","","","","","","","Management Indicator Species","","","","",""
"Pygmy Nuthatch","1","1","3","","","","","","","Sensitive Species","Sensitive Species","","","","Sensitive Species","Sensitive Species",""
"Red Knot","0","0","0","","","","","","Federally Threatened","","","","","","","",""
"Ruffed Grouse","1","1","85","","","","","","","","","","","","","","Management Indicator Species"
"Sprague's Pipit","1","1","23","","","","","","Sensitive Species","","Sensitive Species","","","","","",""
"Spotted Towhee","1","1","245","","","","","","","","","","","","","","Management Indicator Species"
"Sharp-tailed Grouse","1","1","5","","","","","","Management Indicator Species","","","","","","","","Management Indicator Species"
"Trumpeter Swan","1","0","0","","","","","Sensitive Species","","","Sensitive Species","","","Sensitive Species","","",""
"Western Kingbird","1","1","7","","","","","","","","","","","","","","Management Indicator Species"
"Whooping Crane","0","0","0","","","","","","Federally Endangered","","","","","","","",""
"White-headed Woodpecker","1","1","0","","","","","","","","Sensitive Species","","","","","Sensitive Species",""
"Yellow-billed Cuckoo","1","1","0","","","","Federally Threatened","","","","","","Federally Threatened","","","",""
"Yellow Warbler","1","1","84","","","","","","","","","","","","","","Management Indicator Species"
